Datum;Unfaelle mit Alkoholeinfluss;Verunglückte Fußgaenger;Verunglueckte Kinder (unter 15 J);Unfaelle Fahrrad;Unfall Pkw;Getoetete insgesamt;Unfaelle Motorrad/-roller
26.10.2023;54;103;57;263;673;8;22
27.10.2023;97;133;85;254;803;10;21
28.10.2023;153;72;49;162;504;8;28
29.10.2023;165;41;43;124;389;7;30
30.10.2023;77;104;56;247;728;7;42
31.10.2023;121;105;75;187;615;5;17
01.11.2023;148;78;37;245;499;8;28
02.11.2023;72;95;57;204;583;7;17
03.11.2023;87;84;66;223;585;1;22
04.11.2023;153;67;67;130;471;7;15
05.11.2023;140;36;33;73;339;8;6
06.11.2023;66;115;62;277;728;7;23
07.11.2023;63;94;84;261;701;8;15
08.11.2023;61;93;65;290;658;14;19
09.11.2023;61;117;94;228;697;9;24
10.11.2023;104;122;95;247;751;7;22
11.11.2023;164;85;53;142;513;10;12
12.11.2023;165;51;29;93;329;5;15
13.11.2023;58;149;85;245;826;6;12
14.11.2023;76;147;67;247;737;10;7
15.11.2023;74;114;69;243;729;6;18
16.11.2023;86;147;76;270;785;6;16
17.11.2023;91;86;56;203;675;6;21
18.11.2023;179;99;30;106;498;5;5
19.11.2023;154;31;35;88;345;3;7
20.11.2023;70;113;65;209;736;7;15
21.11.2023;65;103;67;250;652;5;12
22.11.2023;63;96;60;199;550;5;19
23.11.2023;71;126;72;228;709;10;13
24.11.2023;95;168;95;218;928;11;11
25.11.2023;175;94;54;105;619;6;7
26.11.2023;169;40;24;47;305;7;9
27.11.2023;67;228;91;229;1007;9;7
28.11.2023;77;111;75;189;769;4;9
29.11.2023;73;101;57;140;648;10;5
30.11.2023;82;147;57;162;680;4;6
01.12.2023;93;104;71;121;702;16;6
02.12.2023;157;69;40;50;422;2;0
03.12.2023;151;48;33;30;292;5;6
04.12.2023;56;108;53;123;684;6;2
05.12.2023;64;148;57;139;752;10;1
06.12.2023;74;105;66;129;600;4;9
07.12.2023;59;147;58;214;689;11;4
08.12.2023;92;131;65;126;657;10;8
09.12.2023;174;125;44;105;549;10;4
10.12.2023;140;47;31;38;279;4;4
11.12.2023;69;149;46;178;693;18;13
12.12.2023;57;156;78;193;689;4;8
13.12.2023;58;158;84;173;667;10;9
14.12.2023;89;150;82;173;648;9;12
15.12.2023;113;131;71;164;618;10;12
16.12.2023;179;71;37;112;427;6;14
17.12.2023;168;34;27;73;290;5;17
18.12.2023;80;140;68;210;741;15;8
19.12.2023;71;201;88;219;784;5;5
20.12.2023;91;149;78;165;632;6;5
21.12.2023;90;196;79;153;756;12;4
22.12.2023;140;162;60;127;698;9;1
23.12.2023;130;94;62;52;461;6;1
24.12.2023;121;40;21;24;235;5;5
25.12.2023;79;29;29;32;246;5;5
26.12.2023;79;22;23;27;225;1;9
27.12.2023;71;51;34;110;405;4;8
28.12.2023;66;57;42;94;373;5;10
29.12.2023;86;72;40;78;378;6;14
30.12.2023;93;48;45;96;300;6;18
31.12.2023;74;27;13;28;152;4;10
